t,x,y,vx,vy
5.46E+00,2.60E-02,-2.38E-01,-6.50E-02,-2.21E+00
5.50E+00,2.60E-02,-3.12E-01,1.95E-01,-2.54E+00
5.53E+00,3.90E-02,-4.07E-01,2.61E-01,-2.87E+00
5.56E+00,4.33E-02,-5.02E-01,1.95E-01,-3.12E+00
5.60E+00,5.19E-02,-6.15E-01,1.30E-01,-3.50E+00
5.63E+00,5.19E-02,-7.36E-01,1.30E-01,-3.77E+00
5.66E+00,6.06E-02,-8.66E-01,1.30E-01,-3.90E+00
5.70E+00,6.06E-02,-9.96E-01,3.25E-01,-4.22E+00
