Time (s),Position y (m),Velocity v (m/s),Kinetic Energy K (J),Potential Energy U (J),Total Energy E (J),ΔK (J),ΔU (J),ΔE (J)
5.72,0.146,2.17,0.0471,0.0286,0.0757,0.000434,0.000196,0.000476
5.73,0.156,1.83,0.0336,0.0306,0.0643,0.000367,0.000196,0.000416
5.75,0.178,1.74,0.0303,0.0349,0.0652,0.000348,0.000196,0.0004
5.77,0.193,2.06,0.0424,0.0379,0.0803,0.000412,0.000196,0.000456
5.78,0.22,2.72,0.0741,0.0432,0.117,0.000544,0.000196,0.000579
5.8,0.245,1.46,0.0214,0.0481,0.0695,0.000293,0.000196,0.000352
5.82,0.245,1.06,0.0113,0.0481,0.0594,0.000213,0.000196,0.000289
5.83,0.277,1.33,0.0177,0.0543,0.072,0.000266,0.000196,0.000331
5.85,0.285,1.63,0.0267,0.0559,0.0826,0.000327,0.000196,0.000381
5.87,0.327,0.594,0.00353,0.0642,0.0677,0.000119,0.000196,0.000229
5.88,0.285,1.1,0.0122,0.0559,0.0681,0.000221,0.000196,0.000295
5.9,0.3,1.17,0.0138,0.0589,0.0726,0.000235,0.000196,0.000306
5.92,0.307,1.16,0.0135,0.0602,0.0737,0.000232,0.000196,0.000304
5.93,0.324,0.735,0.00541,0.0636,0.069,0.000147,0.000196,0.000245
